Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;Method Name;Method Max Depth;Method Number Nested Methods;Method Parameter Names;Associated Class Name;
ZoomMenuComponent;1;1,0;50,0;0,009;1,5;42,11;10,0;2,339;7,0;28,074;4,0;4,0;centerY,centerX,x,y;3,0;6,0;this,=,.;4,0;2,0;setCenterXAndY;0;0;x,y;ZoomMenuComponent;
ZoomMenuComponent;1;1,0;33,333;0,018;3,0;159,453;16,0;8,858;10,0;53,151;5,0;6,0;puzzleManagerService,resetZoom,puzzleBoard,getPuzzleBoard,zoomManagerService;5,0;10,0;(),const,this,=,.;4,0;3,0;applyZoomReset;0;0;;ZoomMenuComponent;
ZoomMenuComponent;1;1,0;33,333;0,03;3,375;308,396;24,0;17,133;14,0;91,377;8,0;9,0;zoomToPoint,puzzleManagerService,centerY,puzzleBoard,getPuzzleBoard,zoomManagerService,125,centerX;6,0;15,0;+ (prefix),(),const,this,=,.;4,0;3,0;applyZoomOut;0;0;;ZoomMenuComponent;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\gallery-bottom-sheet\gallery-bottom-sheet.component.spec.ts;0;1,0;25,0;0,018;1,929;102,505;16,0;5,695;10,0;53,151;7,0;9,0;fixture,TestBed,GalleryBottomSheetComponent,component,detectChanges,componentInstance,createComponent;3,0;7,0;(),=,.;5,0;4,0;<anon method-3>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\gallery-bottom-sheet\gallery-bottom-sheet.component.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,component,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-4>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\gallery-bottom-sheet\gallery-bottom-sheet.component.spec.ts;0;1,0;25,0;0,013;2,5;99,658;12,0;5,537;10,0;39,863;5,0;5,0;TestBed,GalleryBottomSheetComponent,configureTestingModule,compileComponents,declarations;5,0;7,0;(),{},[],:,.;6,0;4,0;<anon method-2>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\gallery-bottom-sheet\gallery-bottom-sheet.component.spec.ts;0;1,0;12,5;0,019;1,929;108,912;17,0;6,051;10,0;56,473;7,0;9,0;GalleryBottomSheetComponent,fixture,beforeEach,component,ComponentFixture,it,"should create";3,0;8,0;(),function=>,let;18,0;8,0;<anon method-1>;0;0;;Not class;
GalleryBottomSheetComponent;1;1,0;50,0;0,009;1,5;42,11;10,0;2,339;7,0;28,074;4,0;4,0;bottomSheetRef,dismiss,event,preventDefault;3,0;6,0;(),this,.;4,0;2,0;openLink;0;0;event;GalleryBottomSheetComponent;
GalleryBottomSheetComponent;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;constructor;0;0;bottomSheetRef;GalleryBottomSheetComponent;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\insert-template-image-bottom-sheet\insert-template-image-bottom-sheet.component.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,component,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-4>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\insert-template-image-bottom-sheet\insert-template-image-bottom-sheet.component.spec.ts;0;1,0;12,5;0,019;1,929;108,912;17,0;6,051;10,0;56,473;7,0;9,0;fixture,beforeEach,component,ComponentFixture,InsertTemplateImageBottomSheetComponent,it,"should create";3,0;8,0;(),function=>,let;18,0;8,0;<anon method-1>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\insert-template-image-bottom-sheet\insert-template-image-bottom-sheet.component.spec.ts;0;1,0;25,0;0,013;2,5;99,658;12,0;5,537;10,0;39,863;5,0;5,0;TestBed,configureTestingModule,InsertTemplateImageBottomSheetComponent,compileComponents,declarations;5,0;7,0;(),{},[],:,.;6,0;4,0;<anon method-2>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\insert-template-image-bottom-sheet\insert-template-image-bottom-sheet.component.spec.ts;0;1,0;25,0;0,018;1,929;102,505;16,0;5,695;10,0;53,151;7,0;9,0;fixture,TestBed,component,detectChanges,componentInstance,InsertTemplateImageBottomSheetComponent,createComponent;3,0;7,0;(),=,.;5,0;4,0;<anon method-3>;0;0;;Not class;
InsertTemplateImageBottomSheetComponent;1;1,0;50,0;0,009;1,5;42,11;10,0;2,339;7,0;28,074;4,0;4,0;bottomSheetRef,dismiss,event,preventDefault;3,0;6,0;(),this,.;4,0;2,0;openLink;0;0;event;InsertTemplateImageBottomSheetComponent;
InsertTemplateImageBottomSheetComponent;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;constructor;0;0;bottomSheetRef;InsertTemplateImageBottomSheetComponent;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\puzzle-chooser-bottom-sheet\puzzle-chooser-bottom-sheet.component.spec.ts;0;1,0;25,0;0,013;2,5;99,658;12,0;5,537;10,0;39,863;5,0;5,0;TestBed,configureTestingModule,compileComponents,declarations,PuzzleChooserBottomSheetComponent;5,0;7,0;(),{},[],:,.;6,0;4,0;<anon method-2>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\puzzle-chooser-bottom-sheet\puzzle-chooser-bottom-sheet.component.spec.ts;0;1,0;25,0;0,018;1,929;102,505;16,0;5,695;10,0;53,151;7,0;9,0;fixture,TestBed,component,detectChanges,componentInstance,createComponent,PuzzleChooserBottomSheetComponent;3,0;7,0;(),=,.;5,0;4,0;<anon method-3>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\puzzle-chooser-bottom-sheet\puzzle-chooser-bottom-sheet.component.spec.ts;0;1,0;12,5;0,019;1,929;108,912;17,0;6,051;10,0;56,473;7,0;9,0;fixture,beforeEach,component,ComponentFixture,it,"should create",PuzzleChooserBottomSheetComponent;3,0;8,0;(),function=>,let;18,0;8,0;<anon method-1>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\puzzle-chooser-bottom-sheet\puzzle-chooser-bottom-sheet.component.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,component,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-4>;0;0;;Not class;
PuzzleChooserBottomSheetComponent;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;constructor;0;0;bottomSheetRef;PuzzleChooserBottomSheetComponent;
PuzzleChooserBottomSheetComponent;1;1,0;50,0;0,009;1,5;42,11;10,0;2,339;7,0;28,074;4,0;4,0;bottomSheetRef,dismiss,event,preventDefault;3,0;6,0;(),this,.;4,0;2,0;openLink;0;0;event;PuzzleChooserBottomSheetComponent;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\template-preview-bottom-sheet\template-preview-bottom-sheet.component.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,component,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-4>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\template-preview-bottom-sheet\template-preview-bottom-sheet.component.spec.ts;0;1,0;25,0;0,018;1,929;102,505;16,0;5,695;10,0;53,151;7,0;9,0;fixture,TestBed,TemplatePreviewBottomSheetComponent,component,detectChanges,componentInstance,createComponent;3,0;7,0;(),=,.;5,0;4,0;<anon method-3>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\template-preview-bottom-sheet\template-preview-bottom-sheet.component.spec.ts;0;1,0;25,0;0,013;2,5;99,658;12,0;5,537;10,0;39,863;5,0;5,0;TestBed,TemplatePreviewBottomSheetComponent,configureTestingModule,compileComponents,declarations;5,0;7,0;(),{},[],:,.;6,0;4,0;<anon method-2>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\template-preview-bottom-sheet\template-preview-bottom-sheet.component.spec.ts;0;1,0;12,5;0,019;1,929;108,912;17,0;6,051;10,0;56,473;7,0;9,0;fixture,TemplatePreviewBottomSheetComponent,beforeEach,component,ComponentFixture,it,"should create";3,0;8,0;(),function=>,let;18,0;8,0;<anon method-1>;0;0;;Not class;
TemplatePreviewBottomSheetComponent;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;constructor;0;0;bottomSheetRef;TemplatePreviewBottomSheetComponent;
TemplatePreviewBottomSheetComponent;1;1,0;50,0;0,009;1,5;42,11;10,0;2,339;7,0;28,074;4,0;4,0;bottomSheetRef,dismiss,event,preventDefault;3,0;6,0;(),this,.;4,0;2,0;openLink;0;0;event;TemplatePreviewBottomSheetComponent;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\zoom-management-bottom-sheet\zoom-management-bottom-sheet.component.spec.ts;0;1,0;25,0;0,018;1,929;102,505;16,0;5,695;10,0;53,151;7,0;9,0;fixture,TestBed,component,detectChanges,componentInstance,createComponent,ZoomManagementBottomSheetComponent;3,0;7,0;(),=,.;5,0;4,0;<anon method-3>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\zoom-management-bottom-sheet\zoom-management-bottom-sheet.component.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,component,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-4>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\zoom-management-bottom-sheet\zoom-management-bottom-sheet.component.spec.ts;0;1,0;12,5;0,019;1,929;108,912;17,0;6,051;10,0;56,473;7,0;9,0;fixture,beforeEach,component,ComponentFixture,it,"should create",ZoomManagementBottomSheetComponent;3,0;8,0;(),function=>,let;18,0;8,0;<anon method-1>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\bottom-sheets\zoom-management-bottom-sheet\zoom-management-bottom-sheet.component.spec.ts;0;1,0;25,0;0,013;2,5;99,658;12,0;5,537;10,0;39,863;5,0;5,0;TestBed,configureTestingModule,compileComponents,declarations,ZoomManagementBottomSheetComponent;5,0;7,0;(),{},[],:,.;6,0;4,0;<anon method-2>;0;0;;Not class;
ZoomManagementBottomSheetComponent;1;1,0;50,0;0,009;1,5;42,11;10,0;2,339;7,0;28,074;4,0;4,0;bottomSheetRef,dismiss,event,preventDefault;3,0;6,0;(),this,.;4,0;2,0;openLink;0;0;event;ZoomManagementBottomSheetComponent;
ZoomManagementBottomSheetComponent;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;constructor;0;0;bottomSheetRef;ZoomManagementBottomSheetComponent;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\gallery\gallery.component.spec.ts;0;1,0;25,0;0,018;1,929;102,505;16,0;5,695;10,0;53,151;7,0;9,0;fixture,TestBed,component,detectChanges,componentInstance,createComponent,GalleryComponent;3,0;7,0;(),=,.;5,0;4,0;<anon method-3>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\gallery\gallery.component.spec.ts;0;1,0;25,0;0,013;2,5;99,658;12,0;5,537;10,0;39,863;5,0;5,0;TestBed,configureTestingModule,compileComponents,declarations,GalleryComponent;5,0;7,0;(),{},[],:,.;6,0;4,0;<anon method-2>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\gallery\gallery.component.spec.ts;0;1,0;12,5;0,019;1,929;108,912;17,0;6,051;10,0;56,473;7,0;9,0;fixture,beforeEach,component,ComponentFixture,it,"should create",GalleryComponent;3,0;8,0;(),function=>,let;18,0;8,0;<anon method-1>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\gallery\gallery.component.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,component,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-4>;0;0;;Not class;
GalleryComponent;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;constructor;0;0;puzzleManagerService;GalleryComponent;
GalleryComponent;1;1,0;100,0;0,008;1,5;37,899;9,0;2,106;7,0;25,266;4,0;4,0;puzzleManagerService,image,src,startGame;3,0;5,0;(),this,.;3,0;1,0;startNewGame;0;0;image;GalleryComponent;
GalleryComponent;1;1,0;50,0;0,005;1,0;15,51;6,0;0,862;6,0;15,51;4,0;4,0;TemplateCategory,GalleryMock,of,Observable;2,0;2,0;(),return;3,0;2,0;getGallery;0;0;;GalleryComponent;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\initial-page\initial-page.component.spec.ts;0;1,0;25,0;0,013;2,5;99,658;12,0;5,537;10,0;39,863;5,0;5,0;TestBed,configureTestingModule,InitialPageComponent,compileComponents,declarations;5,0;7,0;(),{},[],:,.;6,0;4,0;<anon method-2>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\initial-page\initial-page.component.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,component,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-4>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\initial-page\initial-page.component.spec.ts;0;1,0;25,0;0,018;1,929;102,505;16,0;5,695;10,0;53,151;7,0;9,0;fixture,TestBed,component,detectChanges,componentInstance,InitialPageComponent,createComponent;3,0;7,0;(),=,.;5,0;4,0;<anon method-3>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\initial-page\initial-page.component.spec.ts;0;1,0;12,5;0,019;1,929;108,912;17,0;6,051;10,0;56,473;7,0;9,0;fixture,beforeEach,component,ComponentFixture,InitialPageComponent,it,"should create";3,0;8,0;(),function=>,let;18,0;8,0;<anon method-1>;0;0;;Not class;
InitialPageComponent;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;constructor;0;0;puzzleManagerService,router;InitialPageComponent;
InitialPageComponent;1;1,0;50,0;0,008;1,5;37,899;9,0;2,106;7,0;25,266;4,0;4,0;puzzleManagerService,src,slide,startGame;3,0;5,0;(),this,.;1,0;2,0;<anon method-1>;0;0;;InitialPageComponent;
InitialPageComponent;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;ngOnInit;0;0;;InitialPageComponent;
InitialPageComponent;1;1,0;33,333;0,012;2,0;69,738;11,0;3,874;9,0;34,869;5,0;5,0;navigateByUrl,router,setTimeout,700,"/puzzle/selectPuzzles";4,0;6,0;(),this,function=>,.;5,0;3,0;createPuzzleForImage;0;0;slide;InitialPageComponent;
InitialPageComponent;1;1,0;50,0;0,005;1,0;15,51;6,0;0,862;6,0;15,51;4,0;4,0;ImagesToPuzzleMock,of,TemplateImage,Observable;2,0;2,0;(),return;3,0;2,0;getSlides;0;0;;InitialPageComponent;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\insert-template-image\insert-template-image.component.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,component,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-4>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\insert-template-image\insert-template-image.component.spec.ts;0;1,0;25,0;0,013;2,5;99,658;12,0;5,537;10,0;39,863;5,0;5,0;TestBed,configureTestingModule,InsertTemplateImageComponent,compileComponents,declarations;5,0;7,0;(),{},[],:,.;6,0;4,0;<anon method-2>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\insert-template-image\insert-template-image.component.spec.ts;0;1,0;12,5;0,019;1,929;108,912;17,0;6,051;10,0;56,473;7,0;9,0;fixture,beforeEach,component,ComponentFixture,InsertTemplateImageComponent,it,"should create";3,0;8,0;(),function=>,let;18,0;8,0;<anon method-1>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\insert-template-image\insert-template-image.component.spec.ts;0;1,0;25,0;0,018;1,929;102,505;16,0;5,695;10,0;53,151;7,0;9,0;fixture,TestBed,component,detectChanges,componentInstance,InsertTemplateImageComponent,createComponent;3,0;7,0;(),=,.;5,0;4,0;<anon method-3>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\puzzle-board\puzzle-board.component.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,component,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-4>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\puzzle-board\puzzle-board.component.spec.ts;0;1,0;12,5;0,019;1,929;108,912;17,0;6,051;10,0;56,473;7,0;9,0;fixture,beforeEach,component,ComponentFixture,PuzzleBoardComponent,it,"should create";3,0;8,0;(),function=>,let;18,0;8,0;<anon method-1>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\puzzle-board\puzzle-board.component.spec.ts;0;1,0;25,0;0,018;1,929;102,505;16,0;5,695;10,0;53,151;7,0;9,0;fixture,TestBed,component,detectChanges,componentInstance,PuzzleBoardComponent,createComponent;3,0;7,0;(),=,.;5,0;4,0;<anon method-3>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\puzzle-board\puzzle-board.component.spec.ts;0;1,0;25,0;0,013;2,5;99,658;12,0;5,537;10,0;39,863;5,0;5,0;TestBed,configureTestingModule,PuzzleBoardComponent,compileComponents,declarations;5,0;7,0;(),{},[],:,.;6,0;4,0;<anon method-2>;0;0;;Not class;
PuzzleBoardComponent;1;1,0;100,0;0,005;1,5;20,897;6,0;1,161;5,0;13,932;2,0;2,0;puzzleManager,initialize;3,0;4,0;(),this,.;3,0;1,0;initialize;0;0;;PuzzleBoardComponent;
PuzzleBoardComponent;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;constructor;0;0;puzzleManager;PuzzleBoardComponent;
PuzzleBoardComponent;1;1,0;50,0;0,006;1,5;27,863;8,0;1,548;5,0;18,575;2,0;2,0;getCanvasElement,initialize;3,0;6,0;(),this,.;4,0;2,0;ngAfterViewInit;0;0;;PuzzleBoardComponent;
PuzzleBoardComponent;1;1,0;50,0;0,007;1,5;29,477;7,0;1,638;7,0;19,651;4,0;4,0;"puzzleBoardWrapper",getElementById,HTMLElement,document;3,0;3,0;(),return,.;3,0;2,0;getCanvasElement;0;0;;PuzzleBoardComponent;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\puzzle-builder-component\puzzle-builder.component.spec.ts;0;1,0;25,0;0,013;2,5;99,658;12,0;5,537;10,0;39,863;5,0;5,0;TestBed,configureTestingModule,PuzzleBuilderComponent,compileComponents,declarations;5,0;7,0;(),{},[],:,.;6,0;4,0;<anon method-2>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\puzzle-builder-component\puzzle-builder.component.spec.ts;0;1,0;25,0;0,018;1,929;102,505;16,0;5,695;10,0;53,151;7,0;9,0;fixture,TestBed,component,detectChanges,componentInstance,createComponent,PuzzleBuilderComponent;3,0;7,0;(),=,.;5,0;4,0;<anon method-3>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\puzzle-builder-component\puzzle-builder.component.spec.ts;0;1,0;12,5;0,019;1,929;108,912;17,0;6,051;10,0;56,473;7,0;9,0;fixture,beforeEach,component,ComponentFixture,PuzzleBuilderComponent,it,"should create";3,0;8,0;(),function=>,let;18,0;8,0;<anon method-1>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\puzzle-builder-component\puzzle-builder.component.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,component,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-4>;0;0;;Not class;
PuzzleBuilderComponent;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;constructor;0;0;;PuzzleBuilderComponent;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\puzzle-chooser\puzzle-chooser.component.spec.ts;0;1,0;12,5;0,019;1,929;108,912;17,0;6,051;10,0;56,473;7,0;9,0;fixture,beforeEach,component,ComponentFixture,it,"should create",PuzzleChooserComponent;3,0;8,0;(),function=>,let;18,0;8,0;<anon method-1>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\puzzle-chooser\puzzle-chooser.component.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,component,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-4>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\puzzle-chooser\puzzle-chooser.component.spec.ts;0;1,0;25,0;0,018;1,929;102,505;16,0;5,695;10,0;53,151;7,0;9,0;fixture,TestBed,component,detectChanges,componentInstance,createComponent,PuzzleChooserComponent;3,0;7,0;(),=,.;5,0;4,0;<anon method-3>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\puzzle-chooser\puzzle-chooser.component.spec.ts;0;1,0;25,0;0,013;2,5;99,658;12,0;5,537;10,0;39,863;5,0;5,0;TestBed,configureTestingModule,PuzzleChooserComponent,compileComponents,declarations;5,0;7,0;(),{},[],:,.;6,0;4,0;<anon method-2>;0;0;;Not class;
PuzzleChooserComponent;1;1,0;25,0;0,02;2,25;137,125;17,0;7,618;12,0;60,944;8,0;9,0;puzzleListForSelect,selectAll,Puzzle,select,pipe,store,Observable,puzzleState;4,0;8,0;(),this,return,.;3,0;4,0;getPuzzles;0;0;;PuzzleChooserComponent;
PuzzleChooserComponent;1;1,0;50,0;0,009;2,0;54,0;9,0;3,0;8,0;27,0;4,0;4,0;"deg)",angle,toString,"transform: rotate(";4,0;5,0;(),+,return,.;3,0;2,0;getCSSRotateString;0;0;angle;PuzzleChooserComponent;
PuzzleChooserComponent;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;constructor;0;0;store,puzzleManager;PuzzleChooserComponent;
PuzzleChooserComponent;1;1,0;100,0;0,006;1,5;27,142;7,0;1,508;6,0;18,095;3,0;3,0;addPuzzleToBoard,puzzle,puzzleManager;3,0;4,0;(),this,.;3,0;1,0;addToBoard;0;0;puzzle;PuzzleChooserComponent;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\template-preview\template-preview.component.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,component,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-4>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\template-preview\template-preview.component.spec.ts;0;1,0;12,5;0,019;1,929;108,912;17,0;6,051;10,0;56,473;7,0;9,0;fixture,beforeEach,component,ComponentFixture,it,"should create",TemplatePreviewComponent;3,0;8,0;(),function=>,let;18,0;8,0;<anon method-1>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\template-preview\template-preview.component.spec.ts;0;1,0;25,0;0,018;1,929;102,505;16,0;5,695;10,0;53,151;7,0;9,0;fixture,TestBed,component,detectChanges,componentInstance,createComponent,TemplatePreviewComponent;3,0;7,0;(),=,.;5,0;4,0;<anon method-3>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\template-preview\template-preview.component.spec.ts;0;1,0;25,0;0,013;2,5;99,658;12,0;5,537;10,0;39,863;5,0;5,0;TestBed,configureTestingModule,compileComponents,declarations,TemplatePreviewComponent;5,0;7,0;(),{},[],:,.;6,0;4,0;<anon method-2>;0;0;;Not class;
TemplatePreviewComponent;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;constructor;0;0;puzzleManagerService;TemplatePreviewComponent;
TemplatePreviewComponent;1;2,0;33,333;0,031;4,889;459,612;23,0;25,534;17,0;94,012;9,0;11,0;puzzleManagerService,console,SafeResourceUrl,log,"assets/test1.jpg",getTemplatePreviewImage,"Error: no template preview image for puzzles!",templatePreviewImage,undefined;8,0;12,0;(),!==,const,this,=,if,.,return;8,0;6,0;getTemplatePreviewImage;0;0;;TemplatePreviewComponent;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\zoom-management\set-zoom\set-zoom.component.spec.ts;0;1,0;25,0;0,018;1,929;102,505;16,0;5,695;10,0;53,151;7,0;9,0;fixture,TestBed,component,detectChanges,componentInstance,SetZoomComponent,createComponent;3,0;7,0;(),=,.;5,0;4,0;<anon method-3>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\puzzle-builder\pages\zoom-management\set-zoom\set-zoom.component.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,component,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-4>;0;0;;Not class;
