Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;Method Name;Method Max Depth;Method Number Nested Methods;Method Parameter Names;Associated Class Name;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0;1,0;25,0;0,013;2,5;99,658;12,0;5,537;10,0;39,863;5,0;5,0;TestBed,configureTestingModule,SmallMainMenuComponent,compileComponents,declarations;5,0;7,0;(),{},[],:,.;6,0;4,0;<anon method-2>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,component,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-4>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0;1,0;25,0;0,018;1,929;102,505;16,0;5,695;10,0;53,151;7,0;9,0;fixture,TestBed,component,detectChanges,SmallMainMenuComponent,componentInstance,createComponent;3,0;7,0;(),=,.;5,0;4,0;<anon method-3>;0;0;;Not class;
SmallMainMenuComponent;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;constructor;0;0;bottomSheet,router;SmallMainMenuComponent;
SmallMainMenuComponent;1;2,0;66,667;0,025;3,429;253,744;20,0;14,097;13,0;74,009;7,0;8,0;navigateByUrl,1,router,"/puzzle","/puzzle/",indexOf,url;6,0;12,0;(),- (prefix),this,if,===,.;5,0;3,0;loadingFromOtherModuleFix;0;0;;SmallMainMenuComponent;
SmallMainMenuComponent;1;1,0;50,0;0,01;1,5;46,321;11,0;2,573;7,0;30,881;4,0;4,0;bottomSheet,TemplatePreviewBottomSheetComponent,loadingFromOtherModuleFix,open;3,0;7,0;(),this,.;4,0;2,0;openTemplatePreviewBottomSheet;0;0;;SmallMainMenuComponent;
SmallMainMenuComponent;1;1,0;50,0;0,01;1,5;46,321;11,0;2,573;7,0;30,881;4,0;4,0;bottomSheet,loadingFromOtherModuleFix,open,PuzzleChooserBottomSheetComponent;3,0;7,0;(),this,.;4,0;2,0;openPuzzleChooserBottomSheet;0;0;;SmallMainMenuComponent;
SmallMainMenuComponent;1;1,0;50,0;0,01;1,5;46,321;11,0;2,573;7,0;30,881;4,0;4,0;bottomSheet,loadingFromOtherModuleFix,InsertTemplateImageBottomSheetComponent,open;3,0;7,0;(),this,.;4,0;2,0;openInsertTemplateImageBottomSheet;0;0;;SmallMainMenuComponent;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.spec.ts;0;1,0;50,0;0,003;1,0;8,0;4,0;0,444;4,0;8,0;2,0;2,0;"should create an instance",it;2,0;2,0;(),function=>;6,0;2,0;<anon method-1>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.spec.ts;0;1,0;33,333;0,012;3,125;108,966;11,0;6,054;9,0;34,869;4,0;5,0;expect,toBeTruthy,DragAndDropDirective,directive;5,0;6,0;new,(),const,=,.;4,0;3,0;<anon method-2>;0;0;;Not class;
DragAndDropDirective;1;1,0;50,0;0,006;1,0;18,095;7,0;1,005;6,0;18,095;4,0;4,0;"image-dragged",classList,remove,element;2,0;3,0;(),.;1,0;2,0;<anon method-2>;0;0;element;DragAndDropDirective;
DragAndDropDirective;1;1,0;100,0;0,006;1,0;18,095;7,0;1,005;6,0;18,095;4,0;4,0;add,"image-dragged",classList,element;2,0;3,0;(),.;3,0;1,0;<anon method-1>;0;0;element;DragAndDropDirective;
DragAndDropDirective;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;constructor;0;0;router;DragAndDropDirective;
DragAndDropDirective;1;1,0;20,0;0,028;2,2;184,276;22,0;10,238;14,0;83,762;10,0;11,0;console,log,"$event",HostListener,"under",stopPropagation,event,"dragover",imageFileUnder,preventDefault;4,0;11,0;(),[],this,.;7,0;5,0;onDragOver;0;0;event;DragAndDropDirective;
DragAndDropDirective;1;1,0;25,0;0,02;2,286;134,424;17,0;7,468;11,0;58,81;7,0;8,0;"dragleave","$event",HostListener,stopPropagation,event,imageFileApart,preventDefault;4,0;9,0;(),[],this,.;6,0;4,0;onDragLeave;0;0;event;DragAndDropDirective;
DragAndDropDirective;1;2,0;28,571;0,037;4,2;463,518;27,0;25,751;17,0;110,361;10,0;12,0;Array,"drop-puzzle-block",forEach,elements,document,false,getElementsByClassName,from,apart,element;7,0;15,0;(),const,this,function=>,if,=,.;9,0;7,0;imageFileUnder;0;0;;DragAndDropDirective;
DragAndDropDirective;1;1,0;16,667;0,031;3,3;303,6;23,0;16,867;16,0;92,0;10,0;11,0;Array,"drop-puzzle-block",forEach,elements,document,true,getElementsByClassName,from,apart,element;6,0;12,0;(),const,this,function=>,=,.;5,0;6,0;imageFileApart;0;0;;DragAndDropDirective;
DragAndDropDirective;1;3,0;27,273;0,095;6,75;1921,048;58,0;106,725;30,0;284,6;20,0;27,0;navigate,dataTransfer,console,"Error: null transfer!",log,length,"drop",HostListener,stopPropagation,0,fileDropped,router,null,"/puzzle/selectPuzzles",files,"$event",event,emit,imageFileApart,preventDefault;10,0;31,0;(),!==,[],const,else,this,if,=,.,>;16,0;11,0;onDrop;0;0;event;DragAndDropDirective;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.spec.ts;0;1,0;50,0;0,003;1,0;8,0;4,0;0,444;4,0;8,0;2,0;2,0;"should create an instance",it;2,0;2,0;(),function=>;6,0;2,0;<anon method-1>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.spec.ts;0;1,0;33,333;0,012;3,125;108,966;11,0;6,054;9,0;34,869;4,0;5,0;expect,RemoveDirective,toBeTruthy,directive;5,0;6,0;new,(),const,=,.;4,0;3,0;<anon method-2>;0;0;;Not class;
RemoveDirective;1;1,0;50,0;0,007;1,5;33,688;8,0;1,872;7,0;22,459;4,0;4,0;"click",element,nativeElement,addEventListener;3,0;4,0;(),function=>,.;5,0;2,0;constructor;0;0;element;RemoveDirective;
RemoveDirective;1;1,0;100,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;remove,element,nativeElement;2,0;3,0;(),.;3,0;1,0;<anon method-1>;0;0;;RemoveDirective;
AppEffects;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;constructor;0;0;actions$;AppEffects;
AppEffects;1;1,0;33,333;0,005;1,5;23,265;6,0;1,292;6,0;15,51;3,0;3,0;puzzles,PuzzleMock,loadPuzzles;3,0;3,0;(),{},:;1,0;3,0;<anon method-2>;0;0;_;AppEffects;
AppEffects;1;1,0;20,0;0,014;2,0;86,37;13,0;4,798;10,0;43,185;6,0;6,0;ROOT_EFFECTS_INIT,pipe,map,ofType,actions$,_;4,0;7,0;(),this,function=>,.;1,0;5,0;<anon method-1>;0;0;;AppEffects;
