Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\puzzle-algorithm-manager.service.ts;0;2,333;12,338;0,098;5,935;3239,493;56,0;179,972;22,667;292,514;15,333;25,333;;7,333;30,667;;22,0;9,667;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\variable-settings-config.service.spec.ts;0;1,0;34,444;0,009;1,633;50,075;9,333;2,782;7,333;27,324;4,333;4,667;;3,0;4,667;;5,667;3,333;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\variable-settings-config.service.ts;0;3,25;34,031;0,084;6,88;2166,006;48,875;120,334;27,125;251,233;17,875;25,75;;9,25;23,125;;16,625;11,375;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\zoom-settings-config.service.spec.ts;0;1,0;34,444;0,009;1,633;50,075;9,333;2,782;7,333;27,324;4,333;4,667;;3,0;4,667;;5,667;3,333;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\zoom-settings-config.service.ts;0;1,467;33,868;0,032;3,741;556,062;23,067;30,892;14,2;96,341;8,8;12,0;;5,4;11,067;;7,533;4,667;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\tree-manager.service.spec.ts;0;1,0;34,444;0,009;1,633;50,075;9,333;2,782;7,333;27,324;4,333;4,667;;3,0;4,667;;5,667;3,333;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\tree-manager.service.ts;0;1,0;100,0;0,007;1,5;33,688;8,0;1,872;7,0;22,459;4,0;4,0;;3,0;4,0;;6,0;1,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\annotation-extractor.service.spec.ts;0;1,0;34,444;0,009;1,633;50,075;9,333;2,782;7,333;27,324;4,333;4,667;;3,0;4,667;;5,667;3,333;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\annotation-extractor.service.ts;0;3,4;37,359;0,049;7,585;1647,036;34,2;91,502;13,8;147,003;7,2;17,4;;6,6;16,8;;11,0;6,8;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\component-factory.service.spec.ts;0;1,0;34,444;0,009;1,633;50,075;9,333;2,782;7,333;27,324;4,333;4,667;;3,0;4,667;;5,667;3,333;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\component-factory.service.ts;0;2,5;13,333;0,067;5,042;2017,091;39,0;112,061;17,5;200,042;12,0;22,0;;5,5;17,0;;17,5;7,5;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\fabric-menu-helper.service.spec.ts;0;1,0;34,444;0,009;1,633;50,075;9,333;2,782;7,333;27,324;4,333;4,667;;3,0;4,667;;5,667;3,333;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\fabric-menu-helper.service.ts;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\game-configuration\game-configuration.component.spec.ts;0;1,0;28,125;0,014;1,839;81,252;12,75;4,514;8,75;40,855;5,5;6,5;;3,25;6,25;;8,0;4,5;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\game-configuration\game-configuration.component.ts;12;1,333;31,075;0,12;5,494;2938,851;69,667;163,269;26,0;358,619;18,333;28,667;;7,667;41,0;;11,667;12,667;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\material\material.module.ts;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
