Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app-routing.module.ts;1;5,0;18,519;0,125;8,13;3060,883;74,0;170,049;34,0;376,472;23,0;34,0;"",imports,"---------------------------",RouterModule,exports,Routes,loadChildren,then,PuzzleBuilderComponent,NgModule,"./puzzle-builder/puzzle-builder.module",m,EXPRESSION_START116,routes,path,AppRoutingModule,component,PuzzleBuilderModule,"EXPRESSION_END",InitialPageComponent,forRoot,"puzzle",EXPRESSION_END116;11,0;40,0;(),[],{},const,var,function=>,:,,,=,class,.;26,0;27,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app.module.ts;1;2,0;16,667;0,122;5,893;2149,082;69,0;119,393;39,0;364,693;28,0;30,0;AppModule,AppEffects,"---------------------------",MainNavigationComponent,production,SmallMainMenuComponent,instrument,NgModule,bootstrap,StoreDevtoolsModule,AppRoutingModule,EXPRESSION_START117,PuzzleBuilderModule,"EXPRESSION_END",InitialPageComponent,forRoot,EXPRESSION_END117,imports,EffectsModule,StoreModule,MaterialModule,declarations,BrowserAnimationsModule,environment,AppComponent,reducers,FlexLayoutModule,providers;11,0;39,0;(),{},[],:?,var,! (prefix),:,,,=,class,.;42,0;12,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.spec.ts;0;5,0;25,0;0,086;6,222;1608,595;55,0;89,366;26,0;258,524;18,0;28,0;TestBed,beforeEach,detectChanges,MainNavigationComponent,toBeTruthy,it,"should create",declarations,fixture,expect,component,configureTestingModule,ComponentFixture,componentInstance,describe,createComponent,compileComponents,"MainNavigationComponent";8,0;27,0;(),{},[],function=>,let,:,=,.;21,0;20,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.ts;1;14,0;25,455;0,456;14,211;19460,566;216,0;1081,143;81,0;1369,408;64,0;107,0;"./main-navigation.component.scss",RoutingModel,componentPathInModule,"/puzzle",loadingFromOtherModuleFix,RoutingModelMock,path,router,checked,model,from,loadMenu,indexOf,"app-main-navigation",Route,add,navigateByUrl,bottomSheetComponent,constructor,Routes,getRoutingModelData,push,styleUrls,0,candidates,1,route,"zoom-content",matched,"./main-navigation.component.html",$event,"---------------------------",MainNavigationComponent,document,remove,candidate,"component",EXPRESSION_START118,getMenu,EXPRESSION_END118,"EXPRESSION_END",routingModelData,zoomContents,selector,Component,classList,forEach,"path",length,componentRef,openBottomSheet,"hide-zoom-content",url,templateUrl,filter,Array,bottomSheet,toggleZoom,zoomContentDiv,"/puzzle/",unshift,getElementsByClassName,config,open;17,0;109,0;(),{},[],const,- (prefix),var,this,.,forof,else,function=>,:,=,class,===,if,return;60,0;55,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0;5,0;25,0;0,086;6,222;1608,595;55,0;89,366;26,0;258,524;18,0;28,0;TestBed,beforeEach,detectChanges,SmallMainMenuComponent,toBeTruthy,it,"should create",declarations,fixture,expect,component,configureTestingModule,ComponentFixture,componentInstance,"SmallMainMenuComponent",describe,createComponent,compileComponents;8,0;27,0;(),{},[],function=>,let,:,=,.;21,0;20,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.ts;1;7,0;31,818;0,154;8,069;3717,772;86,0;206,543;41,0;460,749;29,0;39,0;TemplatePreviewBottomSheetComponent,"---------------------------",SmallMainMenuComponent,"/puzzle",loadingFromOtherModuleFix,openPuzzleChooserBottomSheet,openTemplatePreviewBottomSheet,router,EXPRESSION_START119,"EXPRESSION_END","app-small-main-menu",EXPRESSION_END119,selector,Component,indexOf,"./small-main-menu.component.scss",navigateByUrl,constructor,InsertTemplateImageBottomSheetComponent,url,"./small-main-menu.component.html",styleUrls,templateUrl,bottomSheet,1,openInsertTemplateImageBottomSheet,"/puzzle/",open,PuzzleChooserBottomSheetComponent;12,0;47,0;(),{},[],- (prefix),var,this,:,=,class,if,===,.;35,0;22,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.spec.ts;0;3,0;42,857;0,024;3,375;244,147;19,0;13,564;14,0;72,34;8,0;9,0;expect,"should create an instance",toBeTruthy,"DragAndDropDirective",DragAndDropDirective,describe,it,directive;6,0;10,0;(),new,const,function=>,=,.;8,0;7,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.ts;1;12,0;24,0;0,419;14,737;18517,349;203,0;1028,742;73,0;1256,534;57,0;105,0;"Error: null transfer!","drop","[appDragAndDrop]",router,from,"under",element,navigate,add,"dragleave",FileList,constructor,HostBinding,HostListener,"dragover",0,null,true,files,"image-dragged",Directive,dataTransfer,"---------------------------",log,document,EXPRESSION_END120,DragAndDropDirective,onDragOver,onDragLeave,remove,fileDropped,EventEmitter,fileOver,Output,"EXPRESSION_END","$event",selector,event,imageFileUnder,preventDefault,classList,apart,console,"class.fileover","drop-puzzle-block",forEach,false,length,stopPropagation,Array,onDrop,elements,"/puzzle/selectPuzzles",getElementsByClassName,emit,imageFileApart,EXPRESSION_START120;16,0;98,0;(),new,!==,{},[],const,var,this,.,else,function=>,:,=,class,if,>;60,0;50,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.spec.ts;0;3,0;42,857;0,024;3,375;244,147;19,0;13,564;14,0;72,34;8,0;9,0;expect,"should create an instance",RemoveDirective,toBeTruthy,describe,it,"RemoveDirective",directive;6,0;10,0;(),new,const,function=>,=,.;8,0;7,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.ts;1;3,0;30,0;0,052;4,857;758,103;35,0;42,117;22,0;156,08;14,0;17,0;EXPRESSION_END121,"---------------------------",RemoveDirective,constructor,remove,"EXPRESSION_END","click",selector,Directive,EXPRESSION_START121,"[appRemove]",element,nativeElement,addEventListener;8,0;18,0;(),{},var,function=>,:,=,class,.;15,0;10,0;
