Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
CLASS: MenuManagerService;0;22,0;26,829;0,854;42,115;107854,339;445,0;5991,908;54,0;2560,925;39,0;219,0;aop,serviceArguments,callArguments,unAop,serviceContext,hookName,bringToFrontService,providedIn,bringToBackService,menuManageHook,context,Injectable,"root",menuConfig,returnPuzzleService,false,constructor,createHook,initializeHint,"include",callArguemnts,createdHook,PuzzleControllerManagerService2,helpPuzzleService,aroundMethod,args,0,1,2,initializeBringToBack,3,null,"applyToMe",PuzzleControllerManagerService,true,getArguments,initializeReturn,initializeBringToFront,"APPLY";15,0;226,0;(),new,[],{},const,this,,,.,else,function=>,:,=,if,===,return;98,0;82,0;
CLASS: PuzzleAlgorithmManagerService;0;7,0;21,212;0,361;14,318;15516,993;185,0;862,055;58,0;1083,726;44,0;90,0;puzzleAlgorithmHook,algorithms,"Anti jigsaw",aop,drawBordersService2,log,"includeOptions","ANTI-JIGSAW",PuzzleGeneratorQuadroService2,serviceContext,"Old jigsaw",hookName,providedIn,"name",context,indexOf,"JIGSAW2",newGameConfigurationService,console,Injectable,"root","Old jigsaw 2",constructor,createHook,"JIGSAW",shufflePuzzlesService,store,"include",setAlgorithms,push,"Initializing algorithm variants!",aroundMethod,args,"AOP: Selecting new Puzzle algorithms!!!",1,null,"applyToMe",GameConfigurationService,"instance",PuzzleGeneratorQuadroService,drawBordersService,true,initialize,config;14,0;95,0;(),new,[],{},const,- (prefix),this,.,function=>,:,=,if,>,return;44,0;33,0;
CLASS: VariableSettingsConfigService;0;26,0;26,531;0,855;32,241;82740,191;412,0;4596,677;75,0;2566,273;58,0;220,0;"Zoom","componentRef",aop,unAop,manageZoomConfig,configList,hookName,ZoomManagementBottomSheetComponent,RoutingModelMock,configDocument,context,indexOf,getAdditionalRoutingConfigurationFile,ZoomManagementComponent,constructor,createHook,VariableSettingsConfigService,"bottomSheetComponent",push,aroundMethod,0,1,true,"/puzzle/zoom","zoom","/puzzle/gallery","Load image","loadImage",JSON,manageImageLoaderConfig,providedIn,"name","componentPathInModule","/puzzle/loadImage",GalleryBottomSheetComponent,"Gallery",Injectable,"root",original,loadGalleryConfig,"path",false,length,InsertTemplateImageBottomSheetComponent,InsertTemplateImageComponent,manageMenuConfigHook,"include","gallery",createdHook,menu,"getRoutingModelData",args,loadImageConfig,manageGalleryConfig,unshift,stringify,config,GalleryComponent;17,0;192,0;||,(),!==,[],{},static,const,- (prefix),.,forof,function=>,:,let,if,=,===,return;104,0;98,0;
CLASS: ZoomSettingsConfigService;0;22,0;27,848;0,795;24,848;59240,825;375,0;3291,157;82,0;2384,082;66,0;205,0;instance,aop,setCenterX,setCenterY,componentFactoryService,manageZoomConfig,unAop,hookName,insertBefore,children,positionAfterHeading,initializeZoomCoordinates,context,centerXEmitter,"getComponentElement",indexOf,centerYEmitter,setZoomValue,item,ZoomManagementComponent,constructor,createHook,SetZoomComponent,VariableSettingsConfigService,manageZoomConfigHook,push,aroundMethod,instantiateZoomValue,0,zoomRef,1,true,"getCanvasElement",nativeElement,zoomCoordinatesRef,initializeZoomValue,zoomValueRef,undefined,zoomingFunctionality,result,Function,zoomHTML,providedIn,createComponent,ZoomSettingsConfigService,manageZoomValueConfigHook,Injectable,"root",original,subscribe,false,instantiateZoomCoordinates,componentRef,puzzleBoardHTML,"include",createdHook,domLocation,args,call,SetZoomPositionComponent,func,zoomEmitter,location,initialize,config,ZoomBlockComponent;16,0;170,0;(),[],{},const,- (prefix),this,.,forof,function,function=>,let,:,=,if,===,return;77,0;79,0;
CLASS: TreeManagerService;0;1,0;2,941;0,283;5,455;4637,26;162,0;257,626;38,0;850,164;33,0;72,0;"puzzleAlgorithmType",initializeZoomValue,puzzleAlgorithManagerService,"toBack",functionalityMapping,manageImageLoaderConfig,"imageGallery",providedIn,"zoomCoordinates","imageLoader",initializeZoomCoordinates,featureConfig,FeatureConfigLoaderService,Injectable,"root","method","service","zoomValue",constructor,"showPositionOnBoard",parseConfig,initializeHint,VariableSettingsConfigService,initializeBringToBack,"returnItem","toFront",manageGalleryConfig,menuManagerService,initialize,zoomSettingsConfig,initializeReturn,initializeBringToFront,"zoom";5,0;90,0;(),{},this,:,.;24,0;34,0;
CLASS: AnnotationExtractorService;0;17,0;42,5;0,348;28,797;30056,055;184,0;1669,781;51,0;1043,726;32,0;97,0;annotationCls,getOwnPropertyNames,log,"function","annotations",annotations,type,getOwnMetadata,typeOrFunc,decoratorType,providedIn,decoratorInvocation,map,console,Injectable,"root",constructor,"__annotations__",any,getAnnotation2,0,args,convertTsickleDecoratorIntoMetadata,decoratorInvocations,null,annotationArgs,getAnnotation,decorators,Reflect,"ɵfac",Object,"ɵcmp";19,0;87,0;&&,(),new,[],{},const,:?,this,typeof (prefix),.,... (spread),! (prefix),function=>,let,:,if,=,===,return;55,0;40,0;
CLASS: ComponentFactoryService;0;5,0;26,316;0,175;14,0;7368,868;97,0;409,382;43,0;526,348;29,0;58,0;logicalLocation,document,body,undefined,providedIn,ComponentPortal,defaultInjector,positioningFunction,T,appRef,createComponent,attach,injector,element,componentType,componentPortal,Injectable,"root",HTMLElement,constructor,componentRef,domLocation,ViewContainerRef,cfr,bodyPortalHost,DomPortalHost,location,ComponentRef,nativeElement;14,0;39,0;||,new,(),{},this,.,instanceof,else,function=>,let,:,=,if,return;48,0;19,0;
CLASS: FabricMenuHelperService;0;1,0;33,333;0,007;1,5;29,477;7,0;1,638;7,0;19,651;4,0;4,0;Injectable,"root",providedIn,constructor;3,0;3,0;(),{},:;6,0;3,0;
CLASS: GameConfigurationComponent;12;4,0;9,756;0,462;12,133;16801,125;223,0;933,396;74,0;1384,708;60,0;104,0;startNewGame,controls,instance,zoomManagerService,"./game-configuration.component.html",FormGroup,PuzzleGeneratorQuadroService2,"Old jigsaw","./game-configuration.component.scss",algorithmsConfig,sanitizer,algorithm,setPuzzleAreaOnBoardService,imageSizeManagerService,constructor,push,styleUrls,EXPRESSION_START69,EXPRESSION_START68,EXPRESSION_START67,EXPRESSION_START66,null,EXPRESSION_START65,"instance",drawBordersService,configurationFormGroup,getAlgorithms,algorithms,"Anti jigsaw","---------------------------",getAvailableAlgorithms,drawBordersService2,disableControlsService,Number,"name","EXPRESSION_END",EXPRESSION_END69,EXPRESSION_END68,EXPRESSION_END67,selector,EXPRESSION_END66,manipulationHandlerService,EXPRESSION_END65,Component,resizeHandlerService,value,"Old jigsaw 2",shufflePuzzlesService,PuzzleManagerService,store,"None",setAlgorithms,AlgorithmMap,templateUrl,FormControl,PuzzleGeneratorQuadroService,manageGraphicsService,gameConfiguration,"app-game-configuration",startGame;14,0;119,0;new,(),!==,{},[],const,var,this,.,:,let,=,if,return;45,0;41,0;
CLASS: MaterialModule;1;0,0;0,0;0,017;2,917;151,35;15,0;8,408;11,0;51,891;6,0;7,0;imports,exports,MaterialComponents,DecoratorTypesService,wholeBlockFile,NgModule;5,0;8,0;(),{},[],:,.;7,0;4,0;
