Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app-routing.module.ts;1;1,0;4,0;0,022;1,524;505,8;13,4;28,1;6,2;66,386;4,2;6,4;;2,0;7,0;;5,0;5,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app.module.ts;1;2,0;20,0;0,106;4,846;1541,152;62,0;85,62;35,0;318,016;26,0;28,0;;9,0;34,0;;41,0;10,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.spec.ts;0;1,0;5,0;0,017;1,244;321,719;11,0;17,873;5,2;51,705;3,6;5,6;;1,6;5,4;;4,2;4,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.ts;1;1,273;2,401;0,04;1,232;1617,984;19,0;89,888;7,091;119,423;5,636;9,545;;1,455;9,455;;5,364;4,818;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0;1,0;5,0;0,017;1,244;321,719;11,0;17,873;5,2;51,705;3,6;5,6;;1,6;5,4;;4,2;4,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.ts;1;1,167;5,833;0,023;1,142;469,976;13,167;26,11;6,167;68,591;4,5;6,167;;1,667;7,0;;5,667;3,333;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.spec.ts;0;1,0;14,286;0,008;1,125;81,382;6,333;4,521;4,667;24,113;2,667;3,0;;2,0;3,333;;2,667;2,333;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.ts;1;1,333;2,778;0,044;1,561;1874,818;21,778;104,157;7,778;133,482;6,111;11,444;;1,667;10,333;;6,556;5,333;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.spec.ts;0;1,0;14,286;0,008;1,125;81,382;6,333;4,521;4,667;24,113;2,667;3,0;;2,0;3,333;;2,667;2,333;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.ts;1;1,0;12,5;0,013;1,25;145,947;9,333;8,108;6,0;38,919;4,0;5,0;;2,0;4,333;;4,667;2,667;
