Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app-routing.module.ts;1;1,0;4,0;0,022;1,524;513,349;13,6;28,519;6,2;67,377;4,2;6,4;;2,0;7,2;;5,0;5,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app.module.ts;1;2,0;20,0;0,108;4,846;1566,01;63,0;87,001;35,0;323,145;26,0;28,0;;9,0;35,0;;41,0;10,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.spec.ts;0;1,0;5,0;0,017;1,244;321,719;11,0;17,873;5,2;51,705;3,6;5,6;;1,6;5,4;;4,2;4,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.ts;1;1,273;2,401;0,04;1,232;1625,726;19,091;90,318;7,091;119,994;5,636;9,545;;1,455;9,545;;5,364;4,818;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0;1,0;5,0;0,017;1,244;321,719;11,0;17,873;5,2;51,705;3,6;5,6;;1,6;5,4;;4,2;4,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.ts;1;1,167;5,833;0,023;1,142;475,925;13,333;26,44;6,167;69,459;4,5;6,167;;1,667;7,167;;5,667;3,333;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.spec.ts;0;1,0;14,286;0,008;1,125;81,382;6,333;4,521;4,667;24,113;2,667;3,0;;2,0;3,333;;2,667;2,333;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.ts;1;1,333;2,778;0,045;1,561;1884,383;21,889;104,688;7,778;134,163;6,111;11,444;;1,667;10,444;;6,556;5,333;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.spec.ts;0;1,0;14,286;0,008;1,125;81,382;6,333;4,521;4,667;24,113;2,667;3,0;;2,0;3,333;;2,667;2,333;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.ts;1;1,0;12,5;0,013;1,25;151,16;9,667;8,398;6,0;40,309;4,0;5,0;;2,0;4,667;;4,667;2,667;
