Associated with;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
CLASS: SetZoomPositionComponent;0,0;-0,3179999999999996;0,0020000000000000018;-0,04899999999999993;38,95499999999993;1,3329999999999984;2,1640000000000015;0,6669999999999998;0,0;0,6669999999999998;;0,0;0,6669999999999998;;0,0;0,3330000000000002;
CLASS: ZoomManagementComponent;0,0;-0,040999999999999925;0,0020000000000000018;0,025000000000000022;213,68899999999985;0,8000000000000007;11,87100000000001;0,040000000000000036;0,0;0,40000000000000036;;0,0;0,3999999999999986;;0,0;0,20000000000000018;
CLASS: PuzzleBuilderRoutingModule;0,0;0,0;0,0010000000000000009;0,0;13,199999999999989;1,0;0,732999999999997;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: PuzzleBuilderModule;0,0;0,0;0,001999999999999988;0,0;16,235999999999876;1,0;0,902000000000001;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: ComponentFactoryService;0,0;0,0;0,0;0,0;24,80199999999968;0,3329999999999984;1,3780000000000143;0,0;0,0;0,0;;0,0;0,3330000000000002;;0,0;0,0;
CLASS: GameConfigurationService;0,0;0,0;0,0010000000000000009;0,0;13,111000000000104;0,1999999999999993;0,7280000000000086;0,0;0,0;0,0;;0,0;0,20000000000000284;;0,0;0,0;
CLASS: OldPuzzleService;0,0;0,0;0,0010000000000000009;0,0;23,11500000000069;0,1670000000000016;1,2839999999999918;0,0;0,0;0,0;;0,0;0,16599999999999682;;0,0;0,0;
CLASS: BringToBackService;0,0;0,0;0,0;0,0;10,989000000000033;0,1999999999999993;0,6099999999999994;0,0;0,0;0,0;;0,0;0,1999999999999993;;0,0;0,0;
CLASS: BringToFrontService;0,0;0,0;0,0;0,0;11,285999999999945;0,1999999999999993;0,6269999999999953;0,0;0,0;0,0;;0,0;0,1999999999999993;;0,0;0,0;
CLASS: BottomLeftFabricMenuService;0,0;0,0;0,0;0,0;8,060000000000173;0,07199999999999918;0,4480000000000075;0,0;0,0;0,0;;0,0;0,07099999999999973;;0,0;0,0;
CLASS: BottomRightFabricMenuService;0,0;0,0;0,0010000000000000009;0,0;7,391000000000076;0,07099999999999795;0,41100000000000136;0,0;0,0;0,0;;0,0;0,07099999999999973;;0,0;0,0;
CLASS: DecoratorFileCopy;0,0;0,0;0,001;0,5;9,414000000000001;1,0;0,5229999999999999;1,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: PuzzleControllerManagerService2;0,0;0,0;0,0;0,0;13,589000000000851;0,09100000000000108;0,7549999999999955;0,0;0,0;0,0;;0,0;0,09100000000000108;;0,0;0,0;
CLASS: TopLeftFabricMenuService;0,0;0,0;0,0;0,0;8,503999999999905;0,07099999999999795;0,4719999999999942;0,0;0,0;0,0;;0,0;0,07200000000000095;;0,0;0,0;
CLASS: TopRightFabricMenuService;0,0;0,0;0,0;0,0;9,06399999999985;0,07200000000000273;0,5040000000000191;0,0;0,0;0,0;;0,0;0,07099999999999973;;0,0;0,0;
CLASS: DeletePuzzleServiceService;0,0;0,0;0,0010000000000000009;0,0;12,105999999999995;0,1999999999999993;0,671999999999997;0,0;0,0;0,0;;0,0;0,20000000000000107;;0,0;0,0;
CLASS: HelpPuzzleServiceService;0,0;0,0;0,0010000000000000009;0,0;13,069000000000187;0,1999999999999993;0,7259999999999991;0,0;0,0;0,0;;0,0;0,20000000000000107;;0,0;0,0;
CLASS: PuzzleController;0,0;0,0;0,0010000000000000009;0,0;7,9069999999999965;1,0;0,43900000000000006;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
CLASS: PuzzleControllerManagerService;0,0;0,0;0,0;0,0;11,811000000000604;0,08299999999999841;0,6569999999999823;0,0;0,0;0,0;;0,0;0,08400000000000318;;0,0;0,0;
