Associated with;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\variable-settings-config.service.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\zoom-settings-config.service.spec.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\zoom-settings-config.service.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\tree-manager.service.spec.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\tree-manager.service.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\annotation-extractor.service.spec.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\annotation-extractor.service.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\component-factory.service.spec.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\component-factory.service.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\fabric-menu-helper.service.spec.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\fabric-menu-helper.service.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\game-configuration\game-configuration.component.spec.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\game-configuration\game-configuration.component.ts;0,0;-1,1740000000000002;0,095;0,8380000000000001;4918,0560000000005;39,0;273,225;7,5;0,0;18,25;;0,0;20,75;;5,75;7,75;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\material\material.module.ts;0,0;0,0;0,0020000000000000018;0,0;28,009000000000015;1,0;1,5559999999999974;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\mockups\gallery.mock.ts;0,0;0,0;0,0020000000000000018;0,0;74,39799999999741;1,0;4,133000000000038;0,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\mockups\puzzle.mock.ts;0,0;0,0;0,0010000000000000009;0,5;36,40700000000001;1,0;2,0230000000000006;1,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\mockups\routing-all.mock.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\mockups\routing.mock.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\models\algorithmMap.ts;0,0;0,0;0,0020000000000000018;0,5;60,923;1,0;3,3840000000000003;1,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\models\defaultTemplates.ts;0,0;0,0;0,0019999999999999983;0,5500000000000003;40,163;1,0;2,2310000000000008;1,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\models\extendedPuzzle.ts;0,0;0,0;0,0019999999999999983;0,5419999999999998;45,754000000000005;1,0;2,5420000000000007;1,0;0,0;0,0;;0,0;1,0;;0,0;0,0;
