Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app-routing.module.ts;1;1,0;4,167;0,02;1,579;483,241;12,6;26,847;5,8;61,211;3,8;6,0;;2,0;6,6;;4,6;4,8;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app.module.ts;1;2,0;22,222;0,098;4,875;1426,302;58,0;79,239;33,0;292,575;24,0;26,0;;9,0;32,0;;39,0;9,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.spec.ts;0;1,0;5,0;0,017;1,244;321,719;11,0;17,873;5,2;51,705;3,6;5,6;;1,6;5,4;;4,2;4,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.ts;1;1,273;2,448;0,039;1,248;1599,091;18,636;88,838;6,909;116,439;5,455;9,364;;1,455;9,273;;5,182;4,727;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0;1,0;5,0;0,017;1,244;321,719;11,0;17,873;5,2;51,705;3,6;5,6;;1,6;5,4;;4,2;4,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.ts;1;1,167;6,14;0,021;1,167;448,812;12,5;24,934;5,833;64,116;4,167;5,833;;1,667;6,667;;5,333;3,167;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.spec.ts;0;1,0;14,286;0,008;1,125;81,382;6,333;4,521;4,667;24,113;2,667;3,0;;2,0;3,333;;2,667;2,333;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.ts;1;1,333;2,837;0,043;1,588;1856,102;21,333;103,117;7,556;129,866;5,889;11,222;;1,667;10,111;;6,333;5,222;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.spec.ts;0;1,0;14,286;0,008;1,125;81,382;6,333;4,521;4,667;24,113;2,667;3,0;;2,0;3,333;;2,667;2,333;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.ts;1;1,0;14,286;0,011;1,3;124,8;8,0;6,933;5,333;32,0;3,333;4,333;;2,0;3,667;;4,0;2,333;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\effects\app.effects.ts;1;1,0;7,692;0,011;0,938;119,416;7,25;6,634;5,25;31,844;3,5;3,75;;1,75;3,5;;2,75;3,25;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\decorator-types.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,0;3,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\decorator-types.service.ts;0;1,0;4,348;0,009;0,76;306,902;5,6;17,05;1,867;26,921;1,333;3,8;;0,533;1,8;;2,267;1,533;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\service-to-skip.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\service-to-skip.service.ts;0;1,0;25,0;0,005;1,0;28,529;4,5;1,585;4,5;14,265;2,5;2,5;;2,0;2,0;;4,0;2,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\designPatternsModels\decorator.ts;0;1,0;0,0;0,003;0,0;0,0;4,0;0,0;4,0;8,0;4,0;4,0;;0,0;0,0;;5,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\feature-config-loader.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\feature-config-loader.service.ts;0;2,8;10,37;0,052;4,929;3842,854;26,4;213,492;12,0;155,942;7,0;13,8;;5,0;12,6;;8,4;5,4;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\feature-config.ts;0;1,0;0,556;1,15;13,292;45865,366;549,0;2548,076;78,0;3450,686;72,0;319,0;;6,0;230,0;;225,0;180,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\management-services\menu-manager.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\management-services\menu-manager.service.ts;0;2,091;2,519;0,079;4,0;10383,551;40,636;576,864;5,091;235,99;3,636;20,0;;1,455;20,636;;9,364;7,545;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\puzzle-algorithm-manager.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\puzzle-algorithm-manager.service.ts;0;2,0;5,882;0,092;3,792;4188,232;46,75;232,68;15,0;276,147;11,25;22,75;;3,75;24,0;;13,75;8,5;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\variable-settings-config.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\variable-settings-config.service.ts;0;3,0;3,03;0,096;3,81;9855,998;46,0;547,555;8,444;287,405;6,444;24,556;;2,0;21,444;;12,667;11,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\zoom-settings-config.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\zoom-settings-config.service.ts;0;1,438;1,797;0,05;1,658;3985,166;23,563;221,398;5,188;150,212;4,125;12,875;;1,063;10,688;;5,375;5,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\tree-manager.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\tree-manager.service.ts;0;1,0;2,857;0,145;3,221;2810,917;82,0;156,162;20,0;436,398;17,0;36,5;;3,0;45,5;;16,0;17,5;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\annotation-extractor.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\annotation-extractor.service.ts;0;3,0;7,143;0,06;5,0;5384,245;31,333;299,125;8,833;179,475;5,5;16,5;;3,333;14,833;;9,833;7,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\component-factory.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\component-factory.service.ts;0;2,0;10,0;0,06;4,917;2673,159;33,0;148,509;15,0;181,231;10,0;19,667;;5,0;13,333;;18,333;6,667;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\fabric-menu-helper.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\utils\fabric-menu-helper.service.ts;0;1,0;25,0;0,005;1,0;28,529;4,5;1,585;4,5;14,265;2,5;2,5;;2,0;2,0;;4,0;2,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\game-configuration\game-configuration.component.spec.ts;0;1,0;5,0;0,017;1,244;321,719;11,0;17,873;5,2;51,705;3,6;5,6;;1,6;5,4;;4,2;4,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\game-configuration\game-configuration.component.ts;12;1,25;4,63;0,09;3,036;3266,157;45,0;181,453;15,75;268,978;12,25;21,25;;3,5;23,75;;13,75;6,75;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\material\material.module.ts;1;1,0;20,0;0,135;4,625;1870,658;76,0;103,925;40,0;404,467;32,0;37,0;;8,0;39,0;;67,0;5,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\mockups\gallery.mock.ts;1;1,0;1,538;0,442;10,417;13802,828;236,0;766,824;49,0;1325,072;42,0;125,0;;7,0;111,0;;116,0;65,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\mockups\puzzle.mock.ts;1;1,0;50,0;0,007;2,0;39,303;7,0;2,183;7,0;19,651;3,0;3,0;;4,0;4,0;;5,0;2,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\mockups\routing-all.mock.ts;7;3,0;7,692;0,262;10,345;8118,168;137,0;451,009;53,0;784,725;42,0;79,0;;11,0;58,0;;52,0;39,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\mockups\routing.mock.ts;7;1,0;3,226;0,094;4,714;2656,044;51,0;147,558;23,0;281,702;17,5;30,0;;5,5;21,0;;21,5;15,5;
