Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app-routing.module.ts;1;5,0;20,833;0,102;7,895;2416,206;63,0;134,234;29,0;306,053;19,0;30,0;"",imports,RouterModule,exports,Routes,loadChildren,then,PuzzleBuilderComponent,NgModule,"./puzzle-builder/puzzle-builder.module",m,routes,path,AppRoutingModule,component,PuzzleBuilderModule,InitialPageComponent,forRoot,"puzzle";10,0;33,0;(),[],{},const,function=>,:,,,=,class,.;23,0;24,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app.module.ts;1;2,0;22,222;0,098;4,875;1426,302;58,0;79,239;33,0;292,575;24,0;26,0;AppModule,imports,EffectsModule,AppEffects,MainNavigationComponent,production,SmallMainMenuComponent,StoreModule,instrument,NgModule,bootstrap,MaterialModule,declarations,BrowserAnimationsModule,StoreDevtoolsModule,AppRoutingModule,environment,AppComponent,PuzzleBuilderModule,reducers,InitialPageComponent,forRoot,FlexLayoutModule,providers;9,0;32,0;(),{},[],:?,! (prefix),:,,,class,.;39,0;9,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.spec.ts;0;5,0;25,0;0,086;6,222;1608,595;55,0;89,366;26,0;258,524;18,0;28,0;TestBed,beforeEach,detectChanges,MainNavigationComponent,toBeTruthy,it,"should create",declarations,fixture,expect,component,configureTestingModule,ComponentFixture,componentInstance,describe,createComponent,compileComponents,"MainNavigationComponent";8,0;27,0;(),{},[],function=>,let,:,=,.;21,0;20,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.ts;1;14,0;26,923;0,427;13,733;17589,999;205,0;977,222;76,0;1280,825;60,0;103,0;"./main-navigation.component.scss",RoutingModel,componentPathInModule,"/puzzle",loadingFromOtherModuleFix,RoutingModelMock,path,router,checked,model,from,loadMenu,indexOf,"app-main-navigation",Route,add,navigateByUrl,bottomSheetComponent,constructor,Routes,getRoutingModelData,push,styleUrls,0,candidates,1,route,"zoom-content",matched,"./main-navigation.component.html",$event,MainNavigationComponent,document,remove,candidate,"component",getMenu,routingModelData,zoomContents,selector,Component,classList,forEach,"path",length,componentRef,openBottomSheet,"hide-zoom-content",url,templateUrl,filter,Array,bottomSheet,toggleZoom,zoomContentDiv,"/puzzle/",unshift,getElementsByClassName,config,open;16,0;102,0;(),[],{},const,- (prefix),this,.,forof,else,function=>,:,class,=,===,if,return;57,0;52,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0;5,0;25,0;0,086;6,222;1608,595;55,0;89,366;26,0;258,524;18,0;28,0;TestBed,beforeEach,detectChanges,SmallMainMenuComponent,toBeTruthy,it,"should create",declarations,fixture,expect,component,configureTestingModule,ComponentFixture,componentInstance,"SmallMainMenuComponent",describe,createComponent,compileComponents;8,0;27,0;(),{},[],function=>,let,:,=,.;21,0;20,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.ts;1;7,0;36,842;0,128;7,0;2692,874;75,0;149,604;35,0;384,696;25,0;35,0;TemplatePreviewBottomSheetComponent,SmallMainMenuComponent,"/puzzle",loadingFromOtherModuleFix,openPuzzleChooserBottomSheet,openTemplatePreviewBottomSheet,router,"app-small-main-menu",selector,Component,indexOf,"./small-main-menu.component.scss",navigateByUrl,constructor,InsertTemplateImageBottomSheetComponent,url,"./small-main-menu.component.html",styleUrls,templateUrl,bottomSheet,1,openInsertTemplateImageBottomSheet,"/puzzle/",open,PuzzleChooserBottomSheetComponent;10,0;40,0;(),{},[],- (prefix),this,:,class,if,===,.;32,0;19,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.spec.ts;0;3,0;42,857;0,024;3,375;244,147;19,0;13,564;14,0;72,34;8,0;9,0;expect,"should create an instance",toBeTruthy,"DragAndDropDirective",DragAndDropDirective,describe,it,directive;6,0;10,0;(),new,const,function=>,=,.;8,0;7,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.ts;1;12,0;25,532;0,39;14,292;16704,917;192,0;928,051;68,0;1168,793;53,0;101,0;"Error: null transfer!","drop","[appDragAndDrop]",router,from,"under",element,navigate,add,"dragleave",FileList,constructor,HostBinding,HostListener,"dragover",0,null,true,files,"image-dragged",Directive,dataTransfer,log,document,DragAndDropDirective,onDragOver,onDragLeave,remove,fileDropped,EventEmitter,fileOver,Output,"$event",selector,event,imageFileUnder,preventDefault,classList,apart,console,"class.fileover","drop-puzzle-block",forEach,false,length,stopPropagation,Array,onDrop,elements,"/puzzle/selectPuzzles",getElementsByClassName,emit,imageFileApart;15,0;91,0;(),new,!==,[],{},const,this,.,else,function=>,:,class,if,=,>;57,0;47,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.spec.ts;0;3,0;42,857;0,024;3,375;244,147;19,0;13,564;14,0;72,34;8,0;9,0;expect,"should create an instance",RemoveDirective,toBeTruthy,describe,it,"RemoveDirective",directive;6,0;10,0;(),new,const,function=>,=,.;8,0;7,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.ts;1;3,0;42,857;0,032;3,9;374,4;24,0;20,8;16,0;96,0;10,0;13,0;RemoveDirective,constructor,"click",selector,Directive,remove,"[appRemove]",element,nativeElement,addEventListener;6,0;11,0;(),{},function=>,:,class,.;12,0;7,0;
