"Form";"Complexity.name";"Statistics";"p.value"
"1";"Overall.file.decorastors";"0.31615288034552";"7.46244633709518e-17"
"1";"Cycl..Number";"0.753994585424712";"8.36240652857191e-10"
"1";"Cycl..Density";"0.881386797591235";"4.59457302827313e-06"
"1";"Halstead.Bugs";"0.608235131238792";"9.48481069121888e-13"
"1";"Halstead.Difficulty";"0.630202375164417";"2.32335161052626e-12"
"1";"Halstead.Effort";"0.385857674286239";"5.17745809907921e-16"
"1";"Halstead.Length";"0.642420084798958";"3.8862805454909e-12"
"1";"Halstead.Time";"0.385857686299764";"5.17745989831929e-16"
"1";"Halstead.Vocabulary";"0.848824591222703";"3.4422415923349e-07"
"1";"Halstead.Volume";"0.608247854411747";"9.48963582798932e-13"
"1";"Halstead.Identifiers.Distinct";"0.83513733749419";"1.27719738213003e-07"
"1";"Halstead.Identifiers.Total";"0.624566955617631";"1.83989023398978e-12"
"1";"Halstead.Identifiers.Distinct.1";"0.882633631577631";"5.11224031890046e-06"
"1";"Halstead.Identifiers.Total.1";"0.661700784376494";"8.97692752596176e-12"
"1";"LOC.Physical";"0.722691802820115";"1.60708009905871e-10"
"1";"LOC.Logical";"0.707505490558987";"7.54862108767713e-11"
"1";"Class.Maintainability";"0.874733978665456";"2.62587241319236e-06"
"1";"Class.number.methods";"0.821471128896316";"4.98151251811276e-08"
"2";"Overall.file.decorastors";"0.31615288034552";"7.46244633709518e-17"
"2";"Cycl..Number";"0.753994585424712";"8.36240652857191e-10"
"2";"Cycl..Density";"0.880762350571042";"4.35636482048559e-06"
"2";"Halstead.Bugs";"0.605762305445682";"8.59398685594855e-13"
"2";"Halstead.Difficulty";"0.632996558028417";"2.610675047891e-12"
"2";"Halstead.Effort";"0.383915563591068";"4.89493121320812e-16"
"2";"Halstead.Length";"0.640085155397662";"3.51909510268648e-12"
"2";"Halstead.Time";"0.383915582051873";"4.89493382110307e-16"
"2";"Halstead.Vocabulary";"0.853579151628675";"4.91821199201487e-07"
"2";"Halstead.Volume";"0.605860421620224";"8.62761273539805e-13"
"2";"Halstead.Identifiers.Distinct";"0.836100763773327";"1.36725309440947e-07"
"2";"Halstead.Identifiers.Total";"0.622422737406009";"1.68468314656753e-12"
"2";"Halstead.Identifiers.Distinct.1";"0.89663377740503";"1.77266347345883e-05"
"2";"Halstead.Identifiers.Total.1";"0.658548504713282";"7.8112545513635e-12"
"2";"LOC.Physical";"0.722691802820115";"1.60708009905871e-10"
"2";"LOC.Logical";"0.705687466567946";"6.90804878400071e-11"
"2";"Class.Maintainability";"0.875381733033284";"2.77083597192274e-06"
"2";"Class.number.methods";"0.821471128896316";"4.98151251811276e-08"
"3";"Overall.file.decorastors";"0.31615288034552";"7.46244633709518e-17"
"3";"Cycl..Number";"0.753994585424712";"8.36240652857191e-10"
"3";"Cycl..Density";"0.883906871299416";"5.70476914328456e-06"
"3";"Halstead.Bugs";"0.607029030081625";"9.03884833985498e-13"
"3";"Halstead.Difficulty";"0.647507100317517";"4.83193856218176e-12"
"3";"Halstead.Effort";"0.384796921155466";"5.02110182472315e-16"
"3";"Halstead.Length";"0.643358169475946";"4.04488623152774e-12"
"3";"Halstead.Time";"0.384796921478213";"5.02110187154091e-16"
"3";"Halstead.Vocabulary";"0.857576815052944";"6.6742189068922e-07"
"3";"Halstead.Volume";"0.607036281412686";"9.04146308754327e-13"
"3";"Halstead.Identifiers.Distinct";"0.828486659242627";"8.03132792349638e-08"
"3";"Halstead.Identifiers.Total";"0.626146983541094";"1.96377942516059e-12"
"3";"Halstead.Identifiers.Distinct.1";"0.924990320130237";"0.000295453672057391"
