Associated with;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\mockups\gallery.mock.ts;0,0;-0,02300000000000013;0,018000000000000016;2,572000000000001;4127,0599999999995;5,0;229,28100000000006;4,0;2,0;2,0;wholeBlockFile,DecoratorTypesService;2,0;3,0;(),.;1,0;1,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\mockups\puzzle.mock.ts;0,0;-16,667;0,007;1,5;111,26500000000001;5,0;6,182;5,0;2,0;2,0;DecoratorTypesService,wholeBlockFile;3,0;3,0;(),{},.;1,0;1,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\mockups\routing-all.mock.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\mockups\routing.mock.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\models\algorithmMap.ts;0,0;-50,0;0,010000000000000002;1,5;170,555;5,0;9,475000000000001;5,0;2,0;2,0;wholeBlockFile,DecoratorTypesService;3,0;3,0;(),{},.;1,0;1,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\models\defaultTemplates.ts;0,0;-50,0;0,008;1,6370000000000002;107,812;5,0;5,989000000000001;5,0;2,0;2,0;DecoratorTypesService,wholeBlockFile;3,0;3,0;(),{},.;1,0;1,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\models\extendedPuzzle.ts;0,0;-50,0;0,009;1,6169999999999998;124,501;5,0;6,917000000000001;5,0;2,0;2,0;wholeBlockFile,DecoratorTypesService;3,0;3,0;(),{},.;1,0;1,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\models\point.ts;0,0;-50,0;0,006999999999999999;1,5;60,63399999999999;5,0;3,3689999999999998;5,0;2,0;2,0;DecoratorTypesService,wholeBlockFile;3,0;3,0;(),{},.;1,0;1,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\models\polygon.ts;0,0;-50,0;0,009000000000000001;1,609;133,047;5,0;7,392;5,0;2,0;2,0;wholeBlockFile,DecoratorTypesService;3,0;3,0;(),{},.;1,0;1,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\models\routingModel.ts;0,0;-50,0;0,008;1,5;84,211;5,0;4,678;5,0;2,0;2,0;DecoratorTypesService,wholeBlockFile;3,0;3,0;(),{},.;1,0;1,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\models\zoomManagementInterface.ts;0,0;-50,0;0,008;1,5;68,352;5,0;3,7969999999999997;5,0;2,0;2,0;DecoratorTypesService,wholeBlockFile;3,0;3,0;(),{},.;1,0;1,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\pages\app-component\app.component.spec.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\pages\app-component\app.component.ts;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
