comparedName;correlation;statistics W;p.value;confidence.interval.start;confidence.interval.end;estimate;p > 0.05
Cycl..Number;1;0;NaN;NaN;NaN;NaN;TRUE
Cycl..Density;0.980381742;1292;3.82E-09;0.862999867;1.745025001;1.24879915;FALSE
Halstead.Bugs;0.99881511;141;7.12E-11;-0.01207819;-0.009453579;-0.010975449;FALSE
Halstead.Difficulty;0.996797648;1442;0.348471826;-0.177559915;0.237009366;0.104475445;TRUE
Halstead.Effort;0.996797977;586;7.33E-05;-114.9764956;-49.14000468;-81.35555744;FALSE
Halstead.Length;0.998911972;141;2.12E-12;-5.000023651;-4.99993778;-5.000005144;FALSE
Halstead.Time;0.996797977;586;7.33E-05;-6.387447992;-2.729552814;-4.519545168;FALSE
Halstead.Vocabulary;0.998650882;141;2.59E-11;-3.499990075;-2.000016518;-2.999970133;FALSE
Halstead.Identifiers.Distinct;0.999530676;141;2.12E-12;-2.000027046;-1.999942695;-2.000007647;FALSE
Halstead.Identifiers.Total;0.999694643;141;2.12E-12;-2.000003781;-1.999965932;-2.000011978;FALSE
Halstead.Identifiers.Distinct.1;0.996154155;0;5.07E-05;-3;-1.999965361;-2.000052431;FALSE
Halstead.Identifiers.Total.1;0.996975696;70;1.11E-13;-3.000027925;-2.999914681;-3.000074335;FALSE
LOC.Physical;0.999970203;141;1.41E-13;-1;-1;-1;FALSE
LOC.Logical;0.999523065;70;1.11E-13;-1.000016285;-0.999908035;-1.000061898;FALSE
Class.Maintainability;0.999539898;1;1;NaN;NaN;2.683;TRUE
