comparedName;correlation;statistics W;p.value;confidence.interval.start;confidence.interval.end;estimate
Cycl..Number;1;0;NaN;NaN;NaN;NaN
Cycl..Density;0.926353053;0;3.62E-14;-4.629533387;-2.048970874;-2.982466511
Halstead.Bugs;0.990043361;2926;3.62E-14;0.011569504;0.015024723;0.012986972
Halstead.Difficulty;0.992146889;1489;0.894949177;-0.193465494;0.523499342;0.027955291
Halstead.Effort;0.99197353;2486;1.20E-07;123.3114734;199.050963;155.8793985
Halstead.Length;0.988470223;2926;1.25E-15;5;6.499990984;5.000062184
Halstead.Time;0.99197353;2486;1.20E-07;6.85046237;11.05845558;8.657187113
Halstead.Vocabulary;0.98798123;2926;1.29E-14;2.999966982;3.500040011;3.000011034
Halstead.Volume;0.990337872;2926;3.67E-14;35.17750689;45.23298913;38.6939084
Halstead.Identifiers.Distinct;0.985487522;2926;1.25E-15;2;2.999975224;2.000097758
Halstead.Identifiers.Total;0.989126571;2926;1.25E-15;2;2.999952626;2.000055197
Halstead.Identifiers.Distinct.1;0.992835046;406;2.66E-06;1.499971551;2.000005535;1.999946565
Halstead.Identifiers.Total.1;0.986277261;2926;1.25E-15;3;3.499929604;3.000065543
LOC.Physical;0.990404508;2926;1.03E-16;2;2.000060877;2
LOC.Logical;0.973411911;2926;1.25E-15;1;1.499911528;1.000071974
